Names,X Coordinate,Y Coordinate,Row,Column,Quadrant
R1C0Q0,2607.3,3830.0,1,1,1
R2C0Q0,-2808.9939999999997,3830.0,1,-1,2
R4C0Q0,2607.3,-3830.0,-1,1,4
R3C0Q0,-2808.9939999999997,-3830.0,-1,-1,3
R1C1Q0,5363.594,3830.0,1,2,1
R2C1Q0,-5565.288,3830.0,1,-2,2
R4C1Q0,5363.594,-3830.0,-1,2,4
R3C1Q0,-5565.288,-3830.0,-1,-2,3
R1C2Q0,8119.888,3830.0,1,3,1
R2C2Q0,-8321.582000000002,3830.0,1,-3,2
R4C2Q0,8119.888,-3830.0,-1,3,4
R3C2Q0,-8321.582000000002,-3830.0,-1,-3,3
R1C3Q0,10876.181999999997,3830.0,1,4,1
R2C3Q0,-11077.876,3830.0,1,-4,2
R4C3Q0,10876.181999999997,-3830.0,-1,4,4
R3C3Q0,-11077.876,-3830.0,-1,-4,3
R1C4Q0,13632.475999999997,3830.0,1,5,1
R2C4Q0,-13834.17,3830.0,1,-5,2
R4C4Q0,13632.475999999997,-3830.0,-1,5,4
R3C4Q0,-13834.17,-3830.0,-1,-5,3
R1C5Q0,16388.769999999997,3830.0,1,6,1
R2C5Q0,-16590.464,3830.0,1,-6,2
R4C5Q0,16388.769999999997,-3830.0,-1,6,4
R3C5Q0,-16590.464,-3830.0,-1,-6,3
R1C6Q0,19145.064,3830.0,1,7,1
R2C6Q0,-19346.758,3830.0,1,-7,2
R4C6Q0,19145.064,-3830.0,-1,7,4
R3C6Q0,-19346.758,-3830.0,-1,-7,3
R1C7Q0,21901.358,3830.0,1,8,1
R2C7Q0,-22103.052000000003,3830.0,1,-8,2
R4C7Q0,21901.358,-3830.0,-1,8,4
R3C7Q0,-22103.052000000003,-3830.0,-1,-8,3
R1C8Q0,24657.652000000002,3830.0,1,9,1
R2C8Q0,-24859.346000000005,3830.0,1,-9,2
R4C8Q0,24657.652000000002,-3830.0,-1,9,4
R3C8Q0,-24859.346000000005,-3830.0,-1,-9,3
R1C9Q0,27413.946000000004,3830.0,1,10,1
R2C9Q0,-27615.640000000007,3830.0,1,-10,2
R4C9Q0,27413.946000000004,-3830.0,-1,10,4
R3C9Q0,-27615.640000000007,-3830.0,-1,-10,3
R1C10Q0,30170.240000000005,3830.0,1,11,1
R2C10Q0,-30371.93400000001,3830.0,1,-11,2
R4C10Q0,30170.240000000005,-3830.0,-1,11,4
R3C10Q0,-30371.93400000001,-3830.0,-1,-11,3
R1C11Q0,32926.53400000001,3830.0,1,12,1
R2C11Q0,-33128.228,3830.0,1,-12,2
R4C11Q0,32926.53400000001,-3830.0,-1,12,4
R3C11Q0,-33128.228,-3830.0,-1,-12,3
R1C0Q1,2607.3,8830.0,2,1,1
R2C0Q1,-2808.9939999999997,8830.0,2,-1,2
R4C0Q1,2607.3,-8830.0,-2,1,4
R3C0Q1,-2808.9939999999997,-8830.0,-2,-1,3
R1C1Q1,5363.594,8830.0,2,2,1
R2C1Q1,-5565.288,8830.0,2,-2,2
R4C1Q1,5363.594,-8830.0,-2,2,4
R3C1Q1,-5565.288,-8830.0,-2,-2,3
R1C2Q1,8119.888,8830.0,2,3,1
R2C2Q1,-8321.582000000002,8830.0,2,-3,2
R4C2Q1,8119.888,-8830.0,-2,3,4
R3C2Q1,-8321.582000000002,-8830.0,-2,-3,3
R1C3Q1,10876.181999999997,8830.0,2,4,1
